"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/04/07 6:56:02 PM GMT+5:30","Masters","Social Sciences","Faculty of Arts : Political Science","I","PG/Rented","Female","General","Good","Average","Average","Average","Very Good","Good","Good","Good","Average","Not applicable","Very Good","Not applicable","Not applicable","Not applicable","Not applicable","Good","Average","Good","Good","Average","Good","Good","Good","Not applicable","Good","Good","Good","Average","Good","Good","Average","Average","Average","Good","Good","Not  Applicable","Not  Applicable","Good","Good","Below Average","Good","Good","Good","Averge","Good","Good","Good","Good","Very Good","More resourceful and timely completion of syllabuz is required. "
"2022/04/07 6:56:16 PM GMT+5:30","Masters","Social Sciences","Department of political science ","IV","Local","Female","SC","Excellent","Excellent","Good","Good","Very Good","Very Good","Average","Good","Very Good","Average","Excellent","Very Good","Very Good","Good","Excellent","Good","Average","Average","Average","Below Average","Very Good","Average","Don't know","Don't know","Below Average","Average","Good","Good","Good","Good","Average","Good","Average","Don't Know","Don't Know","Don't Know","Don't Know","Good","Very Good","Good","Excellent","Averge","Very Good","Very Good","Good","Averge","Very Good","Good","Not Applicable","Drinking water not good in department and results not coming on time "
"2022/04/07 6:56:32 PM GMT+5:30","Masters","Arts","Political science","I","NCR","Female","ST","Average","Below Average","Don't know","Average","Average","Don't know","Average","Average","Average","Below Average","Average","Average","Average","Average","Don't know","Average","Good","Good","Average","Below Average","Average","Average","Not applicable","Not applicable","Average","Below Average","Good","Excellent","Very Good","Average","Below Average","Excellent","Average","Below Average","Not  Applicable","Not  Applicable","Not  Applicable","Averge","Averge","Don't Know","Don't Know","Below Average","Averge","Good","Averge","Good","Good","Average","Don't Know","Poor in internet... Lack of sitting àrrangement"
"2022/04/07 6:56:37 PM GMT+5:30","Masters","Social Sciences","Political Science ","I","Local","Male","General","Good","Below Average","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Not applicable","Below Average","Not applicable","Below Average","Not applicable","Below Average","Average","Average","Average","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Average","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Don't Know","There are too many suggestions to be encapsulated into one statement. The foremost of all the suggestions would be a reduction of emphasis upon merely exams and increment of focus on  creating a more academic environment wherein enough opportunities would be presented to students to interact with the heavyweights of the discipline that they're studying, wherein students would get an experience and an insight into the practical, societal application of their discipline. "
"2022/04/07 6:56:38 PM GMT+5:30","Masters","Social Sciences","political science ","I","PG/Rented","Male","OBC","Good","Good","Below Average","Average","Good","Average","Average","Average","Good","Average","Very Good","Average","Average","Average","Average","Below Average","Below Average","Average","Average","Average","Good","Good","Average","Average","Excellent","Excellent","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Good","syllabus shud be based on practical experience "
"2022/04/07 6:56:51 PM GMT+5:30","Masters","Social Sciences","Political science department ","I","PG/Rented","Male","EWS","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Excellent","Excellent","Very Good","Don't Know","Don't Know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Average","No"
"2022/04/07 6:58:41 PM GMT+5:30","Masters","Social Sciences","Department of Political Science ","I","Other","Male","SC","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Don't know","Below Average","Not applicable","Good","Don't know","Don't know","Don't know","Don't know","Below Average","Average","Good","Good","Below Average","Good","Good","Don't know","Don't know","Good","Good","Good","Good","Below Average","Average","Below Average","Below Average","Below Average","Don't Know","Don't Know","Don't Know","Don't Know","Below Average","Below Average","Don't Know","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","Below Average","Below Average","Don't Know","Please don't conduct entrance exam in Hindi medium if professor can't teach in Hindi medium. Don't give false hope to Hindi medium students. I was very excited when I got admission here but the way they've made us run to just cover the syllabus, made me disappointed."
"2022/04/07 6:58:48 PM GMT+5:30","Masters","Arts","Faculty of arts","I","NCR","Female","General","Average","Below Average","Below Average","Good","Below Average","Below Average","Below Average","Below Average","Average","Not applicable","Excellent","Not applicable","Below Average","Average","Below Average","Good","Very Good","Excellent","Excellent","Don't know","Very Good","Good","Don't know","Not applicable","Don't know","Excellent","Excellent","Very Good","Very Good","Very Good","Excellent","Excellent","Very Good","Don't Know","Don't Know","Don't Know","Don't Know","Good","Averge","Below Average","Good","Don't Know","Averge","Averge","Good","Good","Averge","Good","Good","NA"
"2022/04/07 6:59:06 PM GMT+5:30","Masters","Social Sciences","Political science ","IV","Local","Female","General","Average","Below Average","Average","Below Average","Average","Average","Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Below Average","Below Average","Good","Good","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Good","Below Average","Average","Average","Below Average","Good","Below Average","Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Averge","Averge","Average","Good","Offline exams should not be taken. Because mentally and physically many students are still not prepared for it."
"2022/04/07 6:59:08 PM GMT+5:30","Masters","Social Sciences","Political science ","I","PG/Rented","Female","General","Good","Average","Average","Average","Good","Good","Average","Good","Average","Not applicable","Excellent","Not applicable","Not applicable","Not applicable","Not applicable","Don't know","Don't know","Good","Very Good","Don't know","Good","Good","Don't know","Don't know","Very Good","Very Good","Average","Good","Average","Good","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Good","Don't Know","Don't Know","Good","Don't Know","Good","Don't Know","Averge","Averge","Good","Don't Know","Good","No suggestions "
"2022/04/07 6:59:11 PM GMT+5:30","Masters","Social Sciences","Political science ","I","Local","Male","SC","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Below Average","Average","Below Average","Below Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Average","Below Average","Averge","Averge","Below Average","Below Average","Averge","Averge","Below Average","Averge","Averge","Average","Average","Improve infrastructure "
"2022/04/07 6:59:31 PM GMT+5:30","Masters","Arts","MA political science","I","NCR","Female","General","Excellent","Excellent","Average","Good","Excellent","Below Average","Below Average","Below Average","Not applicable","Below Average","Not applicable","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Good","Good","Good","Don't Know","Good","Good","Good","Good","Good","Good","No"
"2022/04/07 7:00:04 PM GMT+5:30","Masters","Social Sciences","Political Science","I","NCR","Female","General","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Average","Good","Good","Good","Good","Good","Average","Very Good","Below Average","Below Average","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"2022/04/07 7:00:54 PM GMT+5:30","Masters","Social Sciences","Political Science ","I","NCR","Female","ST","Good","Good","Average","Average","Very Good","Good","Good","Good","Good","Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Average","Average","Good","Good","Average","Average","Average","Below Average","Average","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Average","None"
